Name,Department,Faculty
Jennifer Ronholm,"Animal Science, Food Science and Agricultural Chemistry",Faculty of Agriculture and Environmental Sciences
Maureen Rose,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Joane Routhier,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Denis Roy,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Reza Salavati,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Marilyn Scott,"Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Philippe Seguin,Plant Science,Faculty of Agriculture and Environmental Sciences
Benjamin Simpson,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Jaswinder Singh,Plant Science,Faculty of Agriculture and Environmental Sciences
Donald L. Smith,Plant Science,Faculty of Agriculture and Environmental Sciences
Ian Strachan,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Martina Strömvik,Plant Science,Faculty of Agriculture and Environmental Sciences
Shangpeng Sun,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Paul Thomassin,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Pascal Thériault,Farm Management and Technology,Faculty of Agriculture and Environmental Sciences
David Titley-Péloquin,Bioresource Engineering,Faculty of Agriculture and Environmental Sciences
Elsa Vasseur,Animal Science,Faculty of Agriculture and Environmental Sciences
Kevin Wade,Animal Science,Faculty of Agriculture and Environmental Sciences
Yixiang Wang,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
David Wees,"Farm Management and Technology, Plant Science",Faculty of Agriculture and Environmental Sciences
Joann Whalen,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Lyle Whyte,Natural Resource Sciences,Faculty of Agriculture and Environmental Sciences
Linda Wykes,"Human Nutrition, School of",Faculty of Agriculture and Environmental Sciences
Jianguo (Jeff) Xia,"Animal Science, Parasitology, Institute of",Faculty of Agriculture and Environmental Sciences
Varoujan Yaylayan,Food Science and Agricultural Chemistry,Faculty of Agriculture and Environmental Sciences
Alexander Yitbarek,Animal Science,Faculty of Agriculture and Environmental Sciences
Xin Zhao,Animal Science,Faculty of Agriculture and Environmental Sciences
