Name,Title,Department
Blane Harvey,Assistant Professor | William Dawson Scholar,"Department of Integrated Studies in Education (DISE), Institute for the Study of International Development (ISID), Bieler School of Environment, Office of Sustainability"
Mainul Hasan,Associate Professor,"Department of Mining and Materials Engineering, Faculty of Engineering"
Nancy Heath,James McGill Professor,Department of Educational and Counselling Psychology (ECP)
Lily T Hechtman,Full Professor,Department of Psychiatry
Siegfried Hekimi,Full Professor,"Department of Biology, McGill Centre for Studies in Aging (MCSA)"
Ian H Henderson,Associate Professor of New Testament Studies,Faculty of Religious Studies
Andrew Hendry,Full Professor,"Department of Biology, Redpath Museum"
Allan Hepburn,James McGill Professor of Twentieth-Century Literature,Department of English
Karen Hetherington,Faculty Lecturer,School of Social Work
Patricia Faison Hewlin,Associate Professor | Ombudsperson for Students,"Desautels Faculty of Management, Office of the Ombudsperson"
Marsha R Heyman,Faculty Lecturer,Department of Psychiatry
Miranda Brun Hickman,Associate Professor (on sabbatical 2020-2021),Department of English
Andrew J Higgins,Full Professor,Department of Mechanical Engineering
Reghan James Hill,Associate Professor,Department of Chemical Engineering
Peter C W Hoffmann,William Kingsford Professor of History,Department of History and Classical Studies
Matissa Hollister,Assistant Professor ,Desautels Faculty of Management
Shoeb Hosain,"Program Director, McGill Masters of Analytics ",Desautels Faculty of Management
Philip  Howard,Assistant Professor,Department of Integrated Studies in Education (DISE)
Valerio Hoyos-Villegas,Assistant Professor,Department of Plant Science
Pascal Hubert,Professor | William Dawson Scholar,Department of Mechanical Engineering
Gershon Hundert,Leanor Segal Professor of Jewish Studies,"Department of History and Classical Studies, Department of Jewish Studies"
Sandra Hyde,Associate Professor,"Department of Anthropology, Department of East Asian Studies, Department of Social Studies of Medicine, Division of Social and Transcultural Psychiatry"
Kristy Ironside,Assistant Professor,Department of History and Classical Studies
Mariève Isabel,Faculty Lecturer,"Department of French Language and Literature, McGill Writing Centre"
Suha Jabaji,Full Professor,Department of Plant Science
Arezu Jahani-Asl,Assistant Professor,"Department of Medicine, Gerald Bronfman Department of Oncology, Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Ram S Jakhu,Associate Professor,"Faculty of Law, Institute of Air and Space Law"
Dmitry Jakobson,Peter Redpath Professor,Department of Mathematics and Statistics
Tania Janaudis-Ferreira,Assistant Professor,"Research Institute - McGill University Health Centre (RI MUHC), School of Physical and Occupational Therapy"
Richard Janda,Associate Professor,"Faculty of Law, Bieler School of Environment"
Olivia Jensen,Professor,Department of Earth and Planetary Sciences (EPS)
Myung-Soo Jo,Associate Professor,Desautels Faculty of Management
Sébastien Jodoin,Associate Professor | Canada Research Chair in Human Rights and the Environment,"Centre for Human Rights and Legal Pluralism, Faculty of Law, Institute for Health and Social Policy, Max Bell School of Public Policy, Bieler School of Environment"
Timothy Johns,Professor,"Faculty of Agricultural and Environmental Sciences, School of Dietetics and Human Nutrition"
Paul Jolicoeur,Professor,Division of Experimental Medicine
John Jonas,Professor Emeritus | Birks Professor of Metallurgy Emeritus,"Department of Mining and Materials Engineering, Faculty of Engineering"
Ridha Joober,Professor,"Department of Psychiatry, Douglas Hospital Research Centre"
Geza Joos,Full Professor | Canada Research Chair in Powering Information Technologies,"Department of Electrical and Computer Engineering, Bieler School of Environment"
Steve Jordan,"Associate Professor | Department Chair, Integrated Studies in Education (DISE)","Department of Integrated Studies in Education (DISE), Department of Oncology, McGill Programs in Whole Person Care"
Preetika Joshi,Assistant Professor,Desautels Faculty of Management
Mugambi Jouet,Assistant Professor,Faculty of Law
David Juncker,"Full Professor | Chair, Department of Biomedical Engineering","Department of Biomedical Engineering, Department of Electrical and Computer Engineering, Department of Medicine, Department of Surgery, Division of Experimental Medicine, MNI - Department of Neurology and Neurosurgery, Rosalind and Morris Goodman Cancer Centre (GCC)"
Hillary Kaell,Associate Professor,"Department of Anthropology, Faculty of Religious Studies"
Susan Kahn,Professor of Medicine | Canada Research Chair in Venous Thromboembolism,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Division of General Internal Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Berkeley Kaite,Associate Professor & Joint Honours Advisor,Department of English
Amir Kalan,Assistant Professor,Department of Integrated Studies in Education (DISE)
Pat Kambhampati,Associate Professor ,"Department of Chemistry, Department of Physics"
Amine Kamen,Full Professor | Canada Research Chair in Bioprocessing of Viral Vaccines | National Research Council of Canada Research Emeritus,"Department of Biomedical Engineering, Faculty of Engineering"
Mary Kang,Assistant Professor,Department of Civil Engineering and Applied Mechanics
Lawrence Kaplan,Associate Professor,Department of Jewish Studies
Feige Kaplan,Full Professor,"Department of Biology, Department of Human Genetics"
Jason Karamchandani,Associate Professor,"Department of Pathology, Montreal Neurological Institute (MNI), Research Institute - McGill University Health Centre (RI MUHC)"
Victoria Kaspi,Professor,"Department of Physics, Faculty of Science"
Athanasios Katsarkas,Full Professor,"Department of Biomedical Engineering, Department of Otolaryngology - Head and Neck Surgery"
Jay Kaufman,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Alexandra Ketchum,Faculty Lecturer,"McGill Institute for Gender, Sexuality, and Feminist Studies (IGSF)"
Rustam Khaliullin,Assistant Professor,Department of Chemistry
Roni Khazaka,Associate Professor | Associate Dean (Academic Programs),"Department of Electrical and Computer Engineering, Faculty of Engineering"
Lara Khoury,Associate Professor,"Faculty of Law, Institute for Health and Social Policy"
Margaret Kilgour,Molson Professor of English Language and Literature,Department of English
Kelley Kilpatrick,Associate Professor,Ingram School of Nursing
Jonathan Kimmelman,"Professor | Director, Biomedical Ethics Unit","Biomedical Ethics Unit, Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Department of Social Studies of Medicine"
Sarah Kimmins,"Associate Professor | Canada Research Chair in Epigenetics, Reproduction and Development","Department of Animal Science, Department of Pharmacology and Therapeutics"
Nicholas King,Associate Professor,"Biomedical Ethics Unit, Department of Epidemiology, Biostatistics and Occupational Health, Department of Social Studies of Medicine, Division of Experimental Medicine, Max Bell School of Public Policy"
Irah King,Associate Professor | Canada Research Chair in Barrier Immunity,"Department of Microbiology and Immunology, Meakins-Christie Laboratories, Research Institute - McGill University Health Centre (RI MUHC)"
Suzanne King,Full Professor,"Department of Psychiatry, Department of Psychology, Division of Social and Transcultural Psychiatry, Projet Verglas"
Andrew G Kirk,"James McGill Professor | Department Chair, Electrical and Computer Engineering","Department of Biomedical Engineering, Department of Electrical and Computer Engineering, Faculty of Engineering"
Patricia Kirkpatrick,"Associate Professor of Old Testament Studies | Chair, Biblical Studies Area",Faculty of Religious Studies
James Kirkpatrick,Assistant Professor,Department of Earth and Planetary Sciences (EPS)
Laurence J Kirmayer,"James McGill Professor | Director, Division of Social and Transcultural Psychiatry","Department of Educational and Counselling Psychology (ECP), Department of Psychiatry, Division of Social and Transcultural Psychiatry"
Lynn Butler Kisber,"Professor | Editor, LEARNing Landscapes Journal",Department of Integrated Studies in Education (DISE)
Marina Klein,Full Professor | Canada Research Chair in Clinical and Epidemiologic Studies of Chronic Viral Infections in Vulnerable Populations,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Division of Infectious Diseases, Research Institute - McGill University Health Centre (RI MUHC)"
Baerbel Agnes Knauper,James McGill Professor,Department of Psychology
Bartha Knoppers,Full Professor | Canada Research Chair in Law and Medicine,Department of Human Genetics
Richard Koestner,Full Professor,Department of Psychology
Svetlana Komarova,Associate Professor,"Centre for Applied Mathematics in Bioscience and Medicine (CAMBAM), Department of Anatomy and Cell Biology, Department of Biomedical Engineering, Division of Endocrinology and Metabolism, Faculty of Dentistry, Research Institute - McGill University Health Centre (RI MUHC)"
Alissa Koski,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health"
Nicolas Kosoy,Associate Professor,Department of Natural Resource Sciences
Michael Kramer,James McGill Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Pediatrics, Montreal Children's Hospital (MCH), Research Institute - McGill University Health Centre (RI MUHC)"
Martin Kreiswirth,Professor,"Department of English, Graduate and Postdoctoral Studies"
Harriet Kuhnlein,"Professor Emerita of Human Nutrition | Founding Director, Centre for Indigenous Peoples' Nutrition and Environment (CINE)",School of Dietetics and Human Nutrition
Erik Kuhonta,"Associate Professor | Director, Institute for the Study of International Development",Department of Political Science
Fabrice Labeau,"Deputy Provost, Student Life and Learning | Full Professor","Department of Electrical and Computer Engineering, Faculty of Engineering, Office of the Deputy Provost (Student Life & Learning)"
Jean-Martin Laberge,Assistant Professor,"Department of Pediatric Surgery, Department of Surgery, Montreal Children's Hospital (MCH)"
Pierre Lachapelle,Full Professor,"Department of Ophthalmology, Research Institute - McGill University Health Centre (RI MUHC)"
Nathalie Lamarche-Vane,Full Professor,"Department of Anatomy and Cell Biology, Rosalind and Morris Goodman Cancer Centre (GCC)"
David Lametti,Full Professor (on leave),Faculty of Law
Yvan Lamonde,Emeritus Professor,Department of French Language and Literature
Anouk Lamontagne,Associate Professor,School of Physical and Occupational Therapy
Moshe Lander,Course Lecturer,Department of Economics
Fabien Lange,Full Professor | Canada Research Chair in Labour and Personnel Economics,Department of Economics
Michael Langer,Associate Professor,School of Computer Science
Rachel Langevin,Assistant Professor,Department of Educational and Counselling Psychology (ECP)
Liette Lapointe,Associate Professor,Desautels Faculty of Management
Marc Laporta,Assistant Professor,"Department of Psychiatry, Division of Social and Transcultural Psychiatry, Douglas Hospital Research Centre"
Hans Carl Larsson,Director of McGill’s Redpath Museum and Canada Research Chair in Vertebrate Palaeontology,"Department of Biology, Department of Earth and Planetary Sciences (EPS), Redpath Museum"
Myrna Lashley,Assistant Professor,Department of Psychiatry
Paul Lasko,Distinguished James McGill Professor ,"Department of Biology, Rosalind and Morris Goodman Cancer Centre (GCC)"
Eric Latimer,"Full Professor | Director, Mental Health and Society Research Program, Douglas Research Centre","Department of Psychiatry, Douglas Research Centre"
Hang Lau,Program Coordinator,"Career and Professional Development, School of Continuing Studies"
Richard Leask,Professor | Associate Chair (Facilities Planning),"Department of Biomedical Engineering, Department of Chemical Engineering, Faculty of Engineering"
Bertrand Lebouché,Associate Professor,"Department of Family Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Céline Le Bourdais,Distinguished James McGill Professor,Department of Sociology
Martin J Lechowicz,Emeritus Professor,Department of Biology
Robert Leckey,"Full Professor | Samuel Gale Chair | Dean, Faculty of Law ",Faculty of Law
Catherine Leclerc,Associate Professor ,Department of French Language and Literature
Jinhyuk Lee,Assistant Professor,Department of Mining and Materials Engineering
Eve Lee,Assistant Professor,Department of Physics
Bernhard Lehner,Associate Professor,Department of Geography
Harry Leib,Full Professor,"Department of Electrical and Computer Engineering, Faculty of Engineering"
Christine Lejtenyi,Program Director,Department of Pediatrics
Serge Lemay,Associate Professor,"Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Raphael Lencucha,Associate Professor ,School of Physical and Occupational Therapy
R Bruce Lennox,Professor | Tomlinson Professor of Chemistry,Department of Chemistry
Larry Lessard,Full Professor,Department of Mechanical Engineering
Brian Leung,Associate Professor | UNESCO Chair for Dialogues on Sustainability,Department of Biology
Richard Leveille,Adjunct Professor,"Department of Earth and Planetary Sciences (EPS), McGill Space Institute"
Zachary Levine,Associate Professor,Department of Emergency Medicine
Joseph Levitan,Assistant Professor,Department of Integrated Studies in Education (DISE)
Daniel Levitin,James McGill Professor,"Department of Psychology, Schulich School of Music"
B Barry Levy,Emeritus Professor,Department of Jewish Studies
Jacob Levy,"Tomlinson Professor of Political Theory | Chair, Department of Political Science","Department of Philosophy, Department of Political Science"
Eric Lewis,Associate Professor,Department of Philosophy
Brian D A Lewis,Full Professor,Department of History and Classical Studies
Marco Leyton,Professor,"Department of Psychiatry, Department of Psychology, MNI - McConnell Brain Imaging Centre, Research Institute - McGill University Health Centre (RI MUHC)"
Jianyu  Li,Assistant Professor,"Department of Biomedical Engineering, Department of Mechanical Engineering"
Nicole Li-Jessen,Associate Professor | Canada Research Chair in Personalized Medicine of Voice Disorders,"Department of Biomedical Engineering, School of Communication Sciences and Disorders (SCSD)"
Cheng Liang,Full Professor,"Department of Medicine, Division of Experimental Medicine"
Stephen Liben,Full Professor,"Department of Pediatrics, Montreal Children's Hospital (MCH)"
Michael Libman,Full Professor,Research Institute - McGill University Health Centre (RI MUHC)
Yajing Liu,Associate Professor,Department of Earth and Planetary Sciences (EPS)
Jun-Li Liu,Associate Professor,"Division of Endocrinology and Metabolism, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Xiao Liu,Assistant Professor,Department of East Asian Studies
Margaret Lock,Marjorie Bronfman Professor Emerita,"Department of Anthropology, Department of Social Studies of Medicine"
Sampath Kumar Loganathan,Assistant Professor,Department of Otolaryngology - Head and Neck Surgery
Shaun Lovejoy,Full Professor,Department of Physics
Bronwen Low,Associate Professor,"Department of Integrated Studies in Education (DISE), Institute for the Study of International Development (ISID)"
Catherine Lu,Full Professor,Department of Political Science
Nathan Luedtke,Full Professor,Department of Chemistry
Denise Lussier,Professor Emerita,Department of Integrated Studies in Education (DISE)
Yu Ma,Associate Professor and Bensadoun Faculty Scholar,Desautels Faculty of Management
Ann Macaulay,Full Professor,"Department of Family Medicine, Division of Experimental Medicine"
Mary Ellen MacDonald,Associate Professor,"Biomedical Ethics Unit, Department of Pediatrics, Faculty of Dentistry, Ingram School of Nursing, Montreal Children's Hospital (MCH)"
Graham MacDonald,Associate Professor,Department of Geography
Heather B. MacIntosh,Associate Professor,"Centre for Research on Children and Families (CRCF), School of Social Work"
Michael C Mackey,Emeritus Professor,"Department of Mathematics and Statistics, Department of Physiology"
Chandra Madramootoo,James McGill Professor,"Department of Bioresource Engineering, Bieler School of Environment"
Mathieu Maheu-Giroux,Assistant Professor | Canada Research Chair in Population Health Modeling,"Department of Epidemiology, Biostatistics and Occupational Health"
Sara Mahshid,Assistant Professor,Department of Biomedical Engineering
Antonia Maioni,Dean,"Department of Political Science, Faculty of Arts"
Isabelle Malhamé,Assistant Professor,Department of Medicine
Kevin Manaugh,Associate Professor,"Department of Geography, Institute for Health and Social Policy, Bieler School of Environment, School of Urban Planning"
Craig A. Mandato,"Associate Professor | Department Chair, Anatomy and Cell Biology","Department of Anatomy and Cell Biology, Department of Biology, Division of Experimental Medicine"
Judith Mandl,Assistant Professor | Canada Research Chair in Immune Cell Dynamics,Department of Physiology
Christopher P Manfredi,Professor | Vice-Principal (Academic) ,"Department of Political Science, Faculty of Arts"
Marie Manikis,Associate Professor | William Dawson Scholar,Faculty of Law
Howard Margolese,Associate Professor,"Department of Psychiatry, Research Institute - McGill University Health Centre (RI MUHC)"
Markus Martin,Associate Professor,"Centre for Medical Education, Department of Obstetrics and Gynecology, Department of Oncology, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Anthony C Masi,Professor | Academic Director of Executive Education,"Department of Sociology, Desautels Faculty of Management"
Nancy Mayo,Full Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC), School of Physical and Occupational Therapy"
Bruce Mazer,Full Professor,"Department of Pediatrics, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Barbara Lee Mazer,Assistant Professor,School of Physical and Occupational Therapy
Stephen McAdams,Full Professor | Canada Research Chair in Music Perception and Cognition (Tier I),"Department of Music Research (Schulich School of Music), Department of Psychology"
Ghyslaine McClure,Full Professor ,Department of Civil Engineering and Applied Mechanics
Emily McDonald,Assistant Professor ,Department of Medicine
Steve J McFee,Associate Profesor,Department of Electrical and Computer Engineering
Roderick Rowan McInnes,Full Professor,Department of Biochemistry
Marc McKee,Full Professor | Canada Research Chair in Biomineralization (Tier 1),"Department of Anatomy and Cell Biology, Faculty of Dentistry"
Grant McKenzie,Assistant Professor ,Department of Geography
Jeffrey McKenzie,Full Professor | Department Chair,Department of Earth and Planetary Sciences (EPS)
Douglas McNabney," Associate Professor | Associate Dean, Academic and Student Affairs","Department of Performance (Schulich School of Music), Schulich School of Music"
Peter Scott McPherson,Distinguished James McGill Professor,MNI - Department of Neurology and Neurosurgery
Michael Meaney,James McGill Professor,"Department of Psychiatry, Douglas Hospital Research Centre, MNI - Department of Neurology and Neurosurgery"
Sara J Meltzer,Associate Professor,Division of Endocrinology and Metabolism
Allen Mendelsohn,Sessional Lecturer,"Centre for Intellectual Property Policy (CIPP), Faculty of Law"
Joanna Merckx,Affiliated Member,"Department of Epidemiology, Biostatistics and Occupational Health"
Armand de Mestral,Professor Emeritus | Jean Monnet Chair in the Law of International Economic Integration,"Faculty of Law, Institute of Air and Space Law"
Sarkis Meterissian,Full Professor,"Gerald Bronfman Department of Oncology, Department of Surgery, Division of General Surgery, Division of Experimental Surgery, Research Institute - McGill University Health Centre (RI MUHC)"
Sentao Miao,Assistant Professor ,Desautels Faculty of Management
Rene Michel,Full Professor,Department of Pathology
Norman M Miller,,Faculty of Dentistry
Wilson H Miller,Full Professor ,"Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Aaron Mills,Assistant Professor | Canada Research Chair in Indigenous Constitutionalism and Philosophy,Faculty of Law
Brenda Milner,Dorothy J. Killam Professor,"Department of Psychology, MNI - Department of Neurology and Neurosurgery"
Henry Mintzberg,Full Professor,Desautels Faculty of Management
Arun K Misra,Thomas Workman Professor,Department of Mechanical Engineering
Claudia Mitchell,Distinguished James McGill Professor,Department of Integrated Studies in Education (DISE)
Hani Mitri,Full Professor,Department of Mining and Materials Engineering
Karyn Moffatt,Associate Professor | Canada Research Chair in Inclusive Social Computing,School of Information Studies (SIS)
Jeffrey Mogil,Professor | Canada Research Chair in Genetics of Pain (Tier I) | E. P. Taylor Chair in Pain Studies,Department of Psychology
Nicolas Moitessier,Full Professor,Department of Chemistry
Johanne Monette,,"Department of Oncology, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital, Medicine - Jewish General Hospital"
Rosaire Mongrain,Full Professor ,"Department of Biomedical Engineering, Department of Mechanical Engineering"
Richard Montoro,Associate Professor,Department of Psychiatry
Marjorie Montreuil,Assistant Professor,"Douglas Hospital Research Centre, Ingram School of Nursing"
Tina Montreuil,Associate Professor,"Department of Educational and Counselling Psychology (ECP), Department of Psychiatry, Research Institute - McGill University Health Centre (RI MUHC)"
Karl Moore,Associate Professor ,Desautels Faculty of Management
Audrey Moores-François,Associate Professor,Department of Chemistry
Christopher Moraes,Assistant Professor | Canada Research Chair in Advanced Cellular Microenvironments,Department of Chemical Engineering
Jose A Morais,Associate Professor,"Department of Medicine, School of Dietetics and Human Nutrition, University Clinic - Royal Victoria Hospital"
Suzanne Morin,Associate Professor ,"Division of Experimental Medicine, Division of General Internal Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Suzanne Morton,Full Professor,Department of History and Classical Studies
Sarah Moser,Associate Professor ,Department of Geography
Andrew J Mouland,Professor,"Department of Microbiology and Immunology, Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Alfonso Mucci,Full Professor,Department of Earth and Planetary Sciences (EPS)
Ashesh Mukherjee,Associate Professor,Desautels Faculty of Management
Gerhard Multhaup,"Full Professor | Chair, Department of Pharmacology & Therapeutics | Canada Research Chair in Molecular Pharmacology",Department of Pharmacology and Therapeutics
Yolanda Muñoz,Course Lecturer,"McGill Institute for Gender, Sexuality, and Feminist Studies (IGSF)"
Lawrence Mysak,Professor Emeritus ,Department of Atmospheric and Oceanic Sciences
Frédéric Mégret,Full Professor | William Dawson Scholar,Faculty of Law
Robert Nadon,Associate Professor,"Department of Human Genetics, Research Institute - McGill University Health Centre (RI MUHC)"
Makoto Nagano,Associate Professor,"Department of Obstetrics and Gynecology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Meyer Nahon,"Professor and Chair, Mechanical Engineering ","Department of Mechanical Engineering, Faculty of Engineering"
N P Vasavan Nair,Professor  ,"Department of Psychiatry, McGill Centre for Studies in Aging (MCSA)"
Josephine Nalbantoglu,Dean of Graduate and Postdoctoral Studies,"Division of Experimental Medicine, Graduate and Postdoctoral Studies, McGill Centre for Studies in Aging (MCSA), MNI - Department of Neurology and Neurosurgery"
Arijit Nandi,Associate Profesor,"Department of Epidemiology, Biostatistics and Occupational Health"
Javad Nasiry,Associate Professor,Desautels Faculty of Management
Robert Nason,Associate Professor | William Dawson Scholar,Desautels Faculty of Management
Tom Naylor,Full Professor,"Department of Economics, Bieler School of Environment"
Bernadette Nedelec,Associate Professor,School of Physical and Occupational Therapy
Van-Thanh-Van Nguyen,Full Professor,"Department of Civil Engineering and Applied Mechanics, Bieler School of Environment"
Jim A Nicell,"Full Professor | Dean, Faculty of Engineering","Department of Civil Engineering and Applied Mechanics, Bieler School of Environment"
Daiva Nielsen,Assistant Professor,School of Human Nutrition
Ronald Niezen,Distinguished James McGill Professor,"Department of Anthropology, Faculty of Law"
Francisco J D Noya,Associate Professor,"Department of Pediatrics, Research Institute - McGill University Health Centre (RI MUHC)"
Timothy O'Donnell,Assistant Professor | William Dawson Scholar,Department of Linguistics
Kieran O'Donnell,Adjunct Professor,"Department of Psychiatry, Douglas Hospital Research Centre"
Elena Obukhova,Assistant Professor ,Desautels Faculty of Management
Gerbern Oegema,Professor,Faculty of Religious Studies
Tomoko Ohyama,Assistant Professor ,Department of Biology
Martin Olivier,Full Professor,"Centre for Host-Parasite Interactions, Department of Microbiology and Immunology, Research Institute - McGill University Health Centre (RI MUHC)"
Sasha Omanovic,Professor,"Department of Chemical Engineering, Faculty of Engineering"
Jason Opal,Associate Professor,Department of History and Classical Studies
Valérie Orsat,Full Professor,Department of Bioresource Engineering
Ross Otto,Assistant Professor,Department of Psychology
Matthew Oughton,Assistant Professor ,Department of Medicine
Lisa Overholtzer,Assistant Professor | William Dawson Scholar,Department of Anthropology
Taylor Owen,"Associate Professor at the Max Bell School of Public Policy | Beaverbrook Chair in Media, Ethics and Communications",Max Bell School of Public Policy
Nitika Pant Pai,Associate Professor,Department of Medicine
Michael P Paidoussis,Emeritus Professor,"Department of Mechanical Engineering, Faculty of Engineering"
Susan Palmer,Affiliated Member,Centre for Research on Religion (CREOR)
Caroline Palmer,Full Professor | Canada Research Chair in Cognitive Neuroscience of Performance (Tier I),"Department of Psychology, Schulich School of Music"
Roberta M Palmour,Full Professor,Department of Psychiatry
Jesse Papenburg,Assistant Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Pediatrics, Montreal Children's Hospital (MCH), Research Institute - McGill University Health Centre (RI MUHC)"
Michel Paradis,Emeritus Professor,Department of Linguistics
Gilles Paradis,Strathcona Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Institute for Health and Social Policy"
Leighanne Parkes,Assistant Professor,Department of Medicine
Laila Parsons,Full Professor,"Department of History and Classical Studies, Institute of Islamic Studies"
Damiano Pasini,Full Professor,"Department of Biomedical Engineering, Department of Mechanical Engineering"
T V Paul,James McGill Professor,Department of Political Science
Alan V Pavilanis,Associate Professor,"Department of Family Medicine, St. Mary's Hospital Centre"
David J Pearsall,Associate Professor,Department of Kinesiology and Physical Education (KPE)
Mihriban Ozden Pekguleryuz,Associate Professor,"Department of Mining and Materials Engineering, Faculty of Engineering"
Krzysztof Pelc,Associate Professor | William Dawson Scholar,Department of Political Science
Marc D Pell,James McGill Professor,"MNI - McConnell Brain Imaging Centre, School of Communication Sciences and Disorders (SCSD)"
Jerry Pelletier,Full Professor  ,"Department of Biochemistry, Rosalind and Morris Goodman Cancer Centre (GCC)"
Marie-Hélène Pennestri,Assistant Professor,Department of Educational and Counselling Psychology (ECP)
Alberto Perez-Gomez,Full Professor ,"Faculty of Engineering, School of Architecture"
Luca Maria Pesando,Assistant Professor,Department of Sociology
Stephen Peters,"Faculty Lecturer | Assistant Director, Office of First Nations and Inuits",Department of Integrated Studies in Education (DISE)
Anie Philip,Full Professor,"Department of Surgery, Division of Experimental Medicine, Division of Plastic Surgery, Research Institute - McGill University Health Centre (RI MUHC)"
Ciriaco Piccirillo,Full Professor,"Department of Microbiology and Immunology, Research Institute - McGill University Health Centre (RI MUHC)"
Joyce Pickering,Associate Professor,"Department of Epidemiology, Biostatistics and Occupational Health, Division of General Internal Medicine"
Jean-Michel Pilc,Associate Professor,Department of Performance (Schulich School of Music)
Louise Pilote,Full Professor ,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Medicine, Division of General Internal Medicine"
Alain Pinsonneault,Full Professor | Fellow Royal Society of Canada,Desautels Faculty of Management
Andrew Piper,Full Professor,Languages and Literatures Administrative Services
David V Plant,James McGill Professor,"Department of Electrical and Computer Engineering, Faculty of Engineering"
Robert Platt,Full Professor | Albert Boehringer Chair in Pharmacoepidemiology,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Pediatrics, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital, Research Institute - McGill University Health Centre (RI MUHC)"
Gilles Plourde,"Full Professor | Director, Resident Research ","Department of Anesthesia, MNI - Department of Neurology and Neurosurgery"
Vincent Poirier,Assistant Professor,
Johanne Poirier,Full Professor | Peter MacKell Chair in Federalism,Faculty of Law
Judes Poirier,Full Professor,Department of Psychiatry
Mario Polese,,
Michael Pollak,"Full Professor, Alexander-Goldfarb Research Chair in Medical Oncology","Division of Experimental Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital, McGill Centre for Translational Research in Cancer (MCTRC)"
Laura Pollock,Assistant Professor,Department of Biology
Constantin Polychronakos,Full Professor,"Department of Pediatrics, Division of Endocrinology and Metabolism, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Trevor Ponech,"Associate Professor, Department Chair ",Department of English
Maria Popova,Associate Professor | Jean Monnet Chair,Department of Political Science
Barry Posner,Full Professor,"Department of Anatomy and Cell Biology, Division of Endocrinology and Metabolism"
Catherine Potvin,Full Professor | Canada Research Chair in Climate Change Mitigation and Tropical Forest,"Department of Biology, Bieler School of Environment"
Doina Precup,Associate Professor,School of Computer Science
John Presley,Associate Professor,Department of Anatomy and Cell Biology
Roger K Prichard,James McGill Professor,"Centre for Host-Parasite Interactions, Institute of Parasitology"
Rene Provost,Full Professor,Faculty of Law
Alain Ptito,Full Professor,"MNI - Department of Neurology and Neurosurgery, Research Institute - McGill University Health Centre (RI MUHC)"
Amélie Quesnel-Vallée,Full Professor | Canada Research Chair on Policies and Health Inequalities,"Department of Epidemiology, Biostatistics and Occupational Health, Department of Sociology"
Eve-Marie Quintin,Associate Professor,Department of Educational and Counselling Psychology (ECP)
Rachel Rabin,Assistant Professor,"Department of Psychiatry, Douglas Research Centre"
Marc Raboy,"Professor Emeritus | Beaverbrook Chair in Ethics, Media and Communications",Department of Art History and Communication Studies
Kenneth J Ragan,Professor,"Department of Physics, Faculty of Science"
Christopher Ragan,"Associate Professor | Director, Max Bell School of Public Policy","Department of Economics, Max Bell School of Public Policy"
Samira Abbasgholizadeh-Rahimi,Assistant Professor ,"Department of Family Medicine, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
Gerald Ratzer,Professor,School of Computer Science
Joyce Ellen Rauch,Associate Professor ,"Department of Microbiology and Immunology, Division of Experimental Medicine, Research Institute - McGill University Health Centre (RI MUHC)"
Saibal Ray,James McGill Professor,Desautels Faculty of Management
Saleem Razack,Associate Professor,"Institute of Health Sciences Education, Department of Pediatrics, Research Institute - McGill University Health Centre (RI MUHC)"
Dieter Reinhardt,Professor,"Department of Anatomy and Cell Biology, Faculty of Dentistry"
Soham Rej,Assistant Professor,"Department of Psychiatry, Lady Davis Institute for Medical Research, Sir Mortimer B. Davis Jewish General Hospital"
